iter,window_idx,density_milli,adapt_mode,adapt_mode_eff_milli,util_pct,freq_MHz,volt_mV,dyn_mW,scaled_dyn_mW,leak_mW,power_mW,tops_milli,scaled_tops_milli
0,0,800,0,1000,40,1000,750,519,519,190,709,50,50
1,1,500,1,850,40,1000,750,519,441,190,709,50,42
2,2,300,1,850,40,1000,750,519,441,190,709,50,42
3,3,100,3,550,40,1000,750,519,285,190,709,50,27
4,4,850,3,550,40,1000,750,519,285,190,709,50,27
5,0,800,0,1000,60,1000,750,895,895,190,1085,76,76
6,1,500,0,1000,60,1000,750,895,895,190,1085,76,76
7,2,300,2,700,60,1000,750,895,626,190,1085,76,53
8,3,100,2,700,60,1000,750,895,626,190,1085,76,53
9,4,850,0,1000,60,1000,750,895,895,190,1085,76,76
10,0,800,0,1000,80,1000,750,1270,1270,190,1460,102,102
11,1,500,1,850,80,1000,750,1270,1079,190,1460,102,86
12,2,300,1,850,80,1000,750,1270,1079,190,1460,102,86
13,3,100,3,550,80,1000,750,1270,698,190,1460,102,56
14,4,850,3,550,80,1000,750,1270,698,190,1460,102,56
15,0,800,0,1000,100,1000,750,1646,1646,190,1836,128,128
16,1,500,0,1000,100,1000,750,1646,1646,190,1836,128,128
17,2,300,2,700,100,1000,750,1646,1152,190,1836,128,89
18,3,100,2,700,100,1000,750,1646,1152,190,1836,128,89
19,4,850,0,1000,100,1000,750,1646,1646,190,1836,128,128
