pstate,precision_mode,lane_mask_pct,sparsity_mode,sparsity_scale_milli,util_pct,freq_MHz,volt_mV,dyn_mW,leak_mW,power_mW,tops_milli,eff_milli
0,0,100,0,1000,40,400,600,274,120,394,40,0
0,0,100,0,1000,60,400,600,431,120,551,60,0
0,0,100,0,1000,80,400,600,593,120,713,81,0
0,0,100,0,1000,100,400,600,756,120,876,102,0
0,0,100,1,750,40,400,600,256,120,363,30,0
0,0,100,1,750,60,400,600,431,120,551,45,0
0,0,100,1,750,80,400,600,593,120,713,60,0
0,0,100,1,750,100,400,600,756,120,876,76,0
0,0,100,2,500,40,400,600,256,120,363,20,0
0,0,100,2,500,60,400,600,431,120,551,30,0
0,0,100,2,500,80,400,600,593,120,713,40,0
0,0,100,2,500,100,400,600,756,120,876,51,0
0,0,75,0,1000,40,400,600,256,120,363,30,0
0,0,75,0,1000,60,400,600,431,120,551,45,0
0,0,75,0,1000,80,400,600,593,120,713,60,0
0,0,75,0,1000,100,400,600,756,120,876,76,0
0,0,75,1,750,40,400,600,256,120,363,22,0
0,0,75,1,750,60,400,600,431,120,551,33,0
0,0,75,1,750,80,400,600,593,120,713,45,0
0,0,75,1,750,100,400,600,756,120,876,57,0
0,0,75,2,500,40,400,600,256,120,363,15,0
0,0,75,2,500,60,400,600,431,120,551,22,0
0,0,75,2,500,80,400,600,593,120,713,30,0
0,0,75,2,500,100,400,600,756,120,876,38,0
0,0,50,0,1000,40,400,600,256,120,363,20,0
0,0,50,0,1000,60,400,600,431,120,551,30,0
0,0,50,0,1000,80,400,600,593,120,713,40,0
0,0,50,0,1000,100,400,600,756,120,876,51,0
0,0,50,1,750,40,400,600,256,120,363,14,0
0,0,50,1,750,60,400,600,431,120,551,22,0
0,0,50,1,750,80,400,600,593,120,713,30,0
0,0,50,1,750,100,400,600,756,120,876,38,0
0,0,50,2,500,40,400,600,256,120,363,9,0
0,0,50,2,500,60,400,600,431,120,551,15,0
0,0,50,2,500,80,400,600,593,120,713,20,0
0,0,50,2,500,100,400,600,756,120,876,25,0
0,1,100,0,1000,40,400,600,256,120,363,40,0
0,1,100,0,1000,60,400,600,431,120,551,60,0
0,1,100,0,1000,80,400,600,593,120,713,81,0
0,1,100,0,1000,100,400,600,756,120,876,102,0
0,1,100,1,750,40,400,600,256,120,363,30,0
0,1,100,1,750,60,400,600,431,120,551,45,0
0,1,100,1,750,80,400,600,593,120,713,60,0
0,1,100,1,750,100,400,600,756,120,876,76,0
0,1,100,2,500,40,400,600,256,120,363,20,0
0,1,100,2,500,60,400,600,431,120,551,30,0
0,1,100,2,500,80,400,600,593,120,713,40,0
